Date,Series,Value
2018-07-07,Average Tone,0.0904
2018-07-08,Average Tone,0.5197
2018-07-09,Average Tone,0.1738
2018-07-10,Average Tone,0.0084
2018-07-11,Average Tone,0.6937
2018-07-12,Average Tone,0.6724
2018-07-13,Average Tone,0.5083
2018-07-14,Average Tone,-0.3595
2018-07-15,Average Tone,-0.3485
2018-07-16,Average Tone,0.591
2018-07-17,Average Tone,0.8576
2018-07-18,Average Tone,0.6491
2018-07-19,Average Tone,0.5402
2018-07-20,Average Tone,0.6366
2018-07-21,Average Tone,-0.5138
2018-07-22,Average Tone,0.778
2018-07-23,Average Tone,-0.381
2018-07-24,Average Tone,0.0157
2018-07-25,Average Tone,0.5882
2018-07-26,Average Tone,0.4395
2018-07-27,Average Tone,0.3393
2018-07-28,Average Tone,0.5489
2018-07-29,Average Tone,0.4935
2018-07-30,Average Tone,0.6607
2018-07-31,Average Tone,1.0516
2018-08-01,Average Tone,0.9378
2018-08-02,Average Tone,1.1924
2018-08-03,Average Tone,1.1227
2018-08-04,Average Tone,0.9117
2018-08-05,Average Tone,1.1951
2018-08-06,Average Tone,0.98
2018-08-07,Average Tone,0.5925
2018-08-08,Average Tone,0.3005
2018-08-09,Average Tone,0.2846
2018-08-10,Average Tone,0.4954
2018-08-11,Average Tone,0.3079
2018-08-12,Average Tone,0.1111
2018-08-13,Average Tone,0.3018
2018-08-14,Average Tone,-0.4886
2018-08-15,Average Tone,-0.5247
2018-08-16,Average Tone,0.5743
2018-08-17,Average Tone,0.1433
2018-08-18,Average Tone,0.2163
2018-08-19,Average Tone,-0.3227
2018-08-20,Average Tone,-0.379
2018-08-21,Average Tone,0.2547
2018-08-22,Average Tone,0.6816
2018-08-23,Average Tone,-0.4105
2018-08-24,Average Tone,0.1637
2018-08-25,Average Tone,-0.266
2018-08-26,Average Tone,0.0093
2018-08-27,Average Tone,0.4264
2018-08-28,Average Tone,0.797
2018-08-29,Average Tone,0.2776
2018-08-30,Average Tone,-0.3138
2018-08-31,Average Tone,0.7167
2018-09-01,Average Tone,0.6649
2018-09-02,Average Tone,0.6417
2018-09-03,Average Tone,0.0321
2018-09-04,Average Tone,0.1588
2018-09-05,Average Tone,-0.1999
2018-09-06,Average Tone,-0.8232
2018-09-07,Average Tone,-0.5169
2018-09-08,Average Tone,-0.4125
2018-09-09,Average Tone,-0.2461
2018-09-10,Average Tone,-0.5742
2018-09-11,Average Tone,0.1847
2018-09-12,Average Tone,-0.6953
2018-09-13,Average Tone,0.1463
2018-09-14,Average Tone,-0.1915
2018-09-15,Average Tone,0.352
2018-09-16,Average Tone,-0.1487
2018-09-17,Average Tone,-0.0094
2018-09-18,Average Tone,0.8351
2018-09-19,Average Tone,-0.7318
2018-09-20,Average Tone,-0.3207
2018-09-21,Average Tone,0.2192
2018-09-22,Average Tone,0.4085
2018-09-23,Average Tone,0.6511
2018-09-24,Average Tone,1.2094
2018-09-25,Average Tone,0.3219
2018-09-26,Average Tone,0.2576
2018-09-27,Average Tone,-0.2292
2018-09-28,Average Tone,0.1552
2018-09-29,Average Tone,0.4945
2018-09-30,Average Tone,0.3496
2018-10-01,Average Tone,-0.1481
2018-10-02,Average Tone,0.1873
2018-10-03,Average Tone,0.7446
2018-10-04,Average Tone,0.2586
2018-10-05,Average Tone,0.671
2018-10-06,Average Tone,0.5631
2018-10-07,Average Tone,0.4322
2018-10-08,Average Tone,0.0147
2018-10-09,Average Tone,0.6184
2018-10-10,Average Tone,-0.1547
2018-10-11,Average Tone,-0.4362
2018-10-12,Average Tone,-0.6909
2018-10-13,Average Tone,0.0216
2018-10-14,Average Tone,-0.3862
2018-10-15,Average Tone,0.3816
2018-10-16,Average Tone,-0.8196
2018-10-17,Average Tone,0.4676
2018-10-18,Average Tone,-0.2987
2018-10-19,Average Tone,-1.1297
2018-10-20,Average Tone,0.1365
2018-10-21,Average Tone,-0.2635
2018-10-22,Average Tone,0.5299
2018-10-23,Average Tone,0.5755
2018-10-24,Average Tone,0.8643
2018-10-25,Average Tone,0.6484
2018-10-26,Average Tone,0.1834
2018-10-27,Average Tone,0.8534
2018-10-28,Average Tone,0.4331
2018-10-29,Average Tone,1.1139
2018-10-30,Average Tone,0.1189
2018-10-31,Average Tone,1.0342
2018-11-01,Average Tone,0.5495
2018-11-02,Average Tone,0.9517
2018-11-03,Average Tone,0.5298
2018-11-04,Average Tone,0.1315
2018-11-05,Average Tone,0.588
2018-11-06,Average Tone,0.6706
2018-11-07,Average Tone,0.4132
2018-11-08,Average Tone,0.2215
2018-11-09,Average Tone,-0.0242
2018-11-10,Average Tone,0.3248
2018-11-11,Average Tone,-0.4937
2018-11-12,Average Tone,0.0658
2018-11-13,Average Tone,0.5793
2018-11-14,Average Tone,0.229
2018-11-15,Average Tone,-0.5994
2018-11-16,Average Tone,-0.1671
2018-11-17,Average Tone,-1.3511
2018-11-18,Average Tone,-0.4894
2018-11-19,Average Tone,-0.6084
2018-11-20,Average Tone,-2.2261
2018-11-21,Average Tone,-0.2912
2018-11-22,Average Tone,-0.0005
2018-11-23,Average Tone,-0.7969
2018-11-24,Average Tone,0.0298
2018-11-25,Average Tone,-1.0411
2018-11-26,Average Tone,-0.4438
2018-11-27,Average Tone,-0.014
2018-11-28,Average Tone,0.3869
2018-11-29,Average Tone,0.2906
2018-11-30,Average Tone,-0.3769
2018-12-01,Average Tone,-0.5726
2018-12-02,Average Tone,-0.0352
2018-12-03,Average Tone,-0.1559
2018-12-04,Average Tone,0.4289
2018-12-05,Average Tone,0.2538
2018-12-06,Average Tone,0.5974
2018-12-07,Average Tone,-0.9112
2018-12-08,Average Tone,0.5595
2018-12-09,Average Tone,0.3763
2018-12-10,Average Tone,0.174
2018-12-11,Average Tone,-0.0352
2018-12-12,Average Tone,0.3222
2018-12-13,Average Tone,0.5916
2018-12-14,Average Tone,0.2739
2018-12-15,Average Tone,-1.4871
2018-12-16,Average Tone,-0.3897
2018-12-17,Average Tone,0.0692
2018-12-18,Average Tone,0.7717
2018-12-19,Average Tone,-0.0542
2018-12-20,Average Tone,0.5024
2018-12-21,Average Tone,0.6621
2018-12-22,Average Tone,0.2053
2018-12-23,Average Tone,0.2684
2018-12-24,Average Tone,0.3887
2018-12-25,Average Tone,0.1567
2018-12-26,Average Tone,-0.2029
2018-12-27,Average Tone,-0.5474
2018-12-28,Average Tone,-0.1447
2018-12-29,Average Tone,-0.6308
2018-12-30,Average Tone,-0.334
2018-12-31,Average Tone,0.0124
2019-01-01,Average Tone,-0.005
2019-01-02,Average Tone,0.7275
2019-01-03,Average Tone,-0.1123
2019-01-04,Average Tone,0.256
2019-01-05,Average Tone,0.9942
2019-01-06,Average Tone,0.2177
2019-01-07,Average Tone,-0.2071
2019-01-08,Average Tone,-0.9783
2019-01-09,Average Tone,-0.5052
2019-01-10,Average Tone,-0.4405
2019-01-11,Average Tone,-0.3397
2019-01-12,Average Tone,-0.2844
2019-01-13,Average Tone,-1.0985
2019-01-14,Average Tone,0.2879
2019-01-15,Average Tone,0.4139
2019-01-16,Average Tone,0.2086
2019-01-17,Average Tone,-0.1215
2019-01-18,Average Tone,0.4041
2019-01-19,Average Tone,-0.505
2019-01-20,Average Tone,0.238
2019-01-21,Average Tone,0.329
2019-01-22,Average Tone,-0.1085
2019-01-23,Average Tone,-0.3077
2019-01-24,Average Tone,0.0097
2019-01-25,Average Tone,0.2259
2019-01-26,Average Tone,0.6072
2019-01-27,Average Tone,-0.2911
2019-01-28,Average Tone,0.0186
2019-01-29,Average Tone,-0.5327
2019-01-30,Average Tone,0.0499
2019-01-31,Average Tone,0.5837
2019-02-01,Average Tone,-0.1144
2019-02-02,Average Tone,-0.4275
2019-02-03,Average Tone,-0.9395
