Date,Series,Value
2018-06-26,Average Tone,-0.433
2018-06-27,Average Tone,-0.4906
2018-06-28,Average Tone,-0.761
2018-06-29,Average Tone,-2.021
2018-06-30,Average Tone,-1.198
2018-07-01,Average Tone,-0.6778
2018-07-02,Average Tone,-0.5291
2018-07-03,Average Tone,-0.2507
2018-07-04,Average Tone,-0.3491
2018-07-05,Average Tone,-0.9222
2018-07-06,Average Tone,-0.2784
2018-07-07,Average Tone,-0.197
2018-07-08,Average Tone,0.5551
2018-07-09,Average Tone,-0.3782
2018-07-10,Average Tone,-0.3762
2018-07-11,Average Tone,0.0483
2018-07-12,Average Tone,0.056
2018-07-13,Average Tone,-0.2536
2018-07-14,Average Tone,-0.6989
2018-07-15,Average Tone,-0.677
2018-07-16,Average Tone,-0.6513
2018-07-17,Average Tone,-0.186
2018-07-18,Average Tone,-0.2254
2018-07-19,Average Tone,0.0387
2018-07-20,Average Tone,0.0461
2018-07-21,Average Tone,-0.3724
2018-07-22,Average Tone,0.2115
2018-07-23,Average Tone,-0.2488
2018-07-24,Average Tone,-0.1663
2018-07-25,Average Tone,0.2004
2018-07-26,Average Tone,-0.2293
2018-07-27,Average Tone,-0.0597
2018-07-28,Average Tone,0.1088
2018-07-29,Average Tone,-0.3886
2018-07-30,Average Tone,0.1156
2018-07-31,Average Tone,-1.7995
2018-08-01,Average Tone,0.1888
2018-08-02,Average Tone,0.3417
2018-08-03,Average Tone,0.3632
2018-08-04,Average Tone,0.4273
2018-08-05,Average Tone,0.4456
2018-08-06,Average Tone,0.6342
2018-08-07,Average Tone,0.3811
2018-08-08,Average Tone,0.0372
2018-08-09,Average Tone,-0.0198
2018-08-10,Average Tone,-0.0447
2018-08-11,Average Tone,-0.3677
2018-08-12,Average Tone,-0.4915
2018-08-13,Average Tone,-0.5975
2018-08-14,Average Tone,-0.8663
2018-08-15,Average Tone,-0.425
2018-08-16,Average Tone,0.1725
2018-08-17,Average Tone,-0.4312
2018-08-18,Average Tone,-0.104
2018-08-19,Average Tone,-0.9246
2018-08-20,Average Tone,-0.4158
2018-08-21,Average Tone,-0.2242
2018-08-22,Average Tone,-0.2008
2018-08-23,Average Tone,-0.9834
2018-08-24,Average Tone,-0.1583
2018-08-25,Average Tone,-0.6958
2018-08-26,Average Tone,-0.2765
2018-08-27,Average Tone,-0.5064
2018-08-28,Average Tone,0.052
2018-08-29,Average Tone,-0.0283
2018-08-30,Average Tone,-0.8174
2018-08-31,Average Tone,-0.0692
2018-09-01,Average Tone,-0.3099
2018-09-02,Average Tone,-0.0005
2018-09-03,Average Tone,-0.1828
2018-09-04,Average Tone,-0.5041
2018-09-05,Average Tone,-0.3221
2018-09-06,Average Tone,-0.9606
2018-09-07,Average Tone,-0.6727
2018-09-08,Average Tone,-0.5161
2018-09-09,Average Tone,-0.5817
2018-09-10,Average Tone,-0.7986
2018-09-11,Average Tone,-0.3813
2018-09-12,Average Tone,-1.0921
2018-09-13,Average Tone,-0.2047
2018-09-14,Average Tone,-0.1834
2018-09-15,Average Tone,-0.3364
2018-09-16,Average Tone,-0.4791
2018-09-17,Average Tone,-0.2115
2018-09-18,Average Tone,0.2027
2018-09-19,Average Tone,-1.2965
2018-09-20,Average Tone,-1.713
2018-09-21,Average Tone,-0.9991
2018-09-22,Average Tone,0.029
2018-09-23,Average Tone,-0.4038
2018-09-24,Average Tone,-0.1177
2018-09-25,Average Tone,-0.1646
2018-09-26,Average Tone,-0.4183
2018-09-27,Average Tone,-0.3984
2018-09-28,Average Tone,-0.6378
2018-09-29,Average Tone,0.0399
2018-09-30,Average Tone,-0.2786
2018-10-01,Average Tone,-0.2782
2018-10-02,Average Tone,-0.0235
2018-10-03,Average Tone,-0.0436
2018-10-04,Average Tone,0.1509
2018-10-05,Average Tone,-0.0948
2018-10-06,Average Tone,-0.3196
2018-10-07,Average Tone,-0.3745
2018-10-08,Average Tone,-0.1676
2018-10-09,Average Tone,0.3953
2018-10-10,Average Tone,-0.3928
2018-10-11,Average Tone,-1.05
2018-10-12,Average Tone,-0.5893
2018-10-13,Average Tone,-0.8948
2018-10-14,Average Tone,-0.794
2018-10-15,Average Tone,-0.5217
2018-10-16,Average Tone,-0.483
2018-10-17,Average Tone,-0.0249
2018-10-18,Average Tone,-1.2358
2018-10-19,Average Tone,-1.0583
2018-10-20,Average Tone,-1.7768
2018-10-21,Average Tone,-0.2275
2018-10-22,Average Tone,0.0864
2018-10-23,Average Tone,-0.1992
2018-10-24,Average Tone,-0.1138
2018-10-25,Average Tone,-0.6849
2018-10-26,Average Tone,-0.6279
2018-10-27,Average Tone,-0.4341
2018-10-28,Average Tone,0.3357
2018-10-29,Average Tone,0.6712
2018-10-30,Average Tone,-0.2841
2018-10-31,Average Tone,-0.221
2018-11-01,Average Tone,0.0575
2018-11-02,Average Tone,-0.3916
2018-11-03,Average Tone,-0.4142
2018-11-04,Average Tone,-0.3592
2018-11-05,Average Tone,-0.5936
2018-11-06,Average Tone,-0.3228
2018-11-07,Average Tone,-0.238
2018-11-08,Average Tone,0.0801
2018-11-09,Average Tone,-0.0678
2018-11-10,Average Tone,0.0778
2018-11-11,Average Tone,-0.2209
2018-11-12,Average Tone,-0.532
2018-11-13,Average Tone,-0.2218
2018-11-14,Average Tone,-0.9035
2018-11-15,Average Tone,-1.5384
2018-11-16,Average Tone,-1.5406
2018-11-17,Average Tone,-0.9635
2018-11-18,Average Tone,-0.4529
2018-11-19,Average Tone,-1.7965
2018-11-20,Average Tone,-2.0401
2018-11-21,Average Tone,-1.2043
2018-11-22,Average Tone,-1.5704
2018-11-23,Average Tone,-2.0799
2018-11-24,Average Tone,-1.4624
2018-11-25,Average Tone,-1.4669
2018-11-26,Average Tone,-1.2696
2018-11-27,Average Tone,-0.896
2018-11-28,Average Tone,-0.6697
2018-11-29,Average Tone,-0.1831
2018-11-30,Average Tone,-0.8054
2018-12-01,Average Tone,-0.6149
2018-12-02,Average Tone,-0.8744
2018-12-03,Average Tone,-0.3079
2018-12-04,Average Tone,-0.3787
2018-12-05,Average Tone,-0.4567
2018-12-06,Average Tone,0.1952
2018-12-07,Average Tone,-1.1415
2018-12-08,Average Tone,-0.5576
2018-12-09,Average Tone,-0.2969
2018-12-10,Average Tone,-0.3459
2018-12-11,Average Tone,-0.2941
2018-12-12,Average Tone,-0.5108
2018-12-13,Average Tone,-0.4274
2018-12-14,Average Tone,-0.7499
2018-12-15,Average Tone,-1.9739
2018-12-16,Average Tone,-0.892
2018-12-17,Average Tone,-0.8345
2018-12-18,Average Tone,-0.259
2018-12-19,Average Tone,-0.4243
2018-12-20,Average Tone,-0.105
2018-12-21,Average Tone,-0.0882
2018-12-22,Average Tone,-1.1053
2018-12-23,Average Tone,-0.1189
2018-12-24,Average Tone,-0.3524
2018-12-25,Average Tone,-0.9586
2018-12-26,Average Tone,-0.6682
2018-12-27,Average Tone,-0.8788
2018-12-28,Average Tone,-0.7279
2018-12-29,Average Tone,-0.6201
2018-12-30,Average Tone,-0.8373
2018-12-31,Average Tone,0.1558
2019-01-01,Average Tone,-0.1021
2019-01-02,Average Tone,-0.1951
2019-01-03,Average Tone,-0.2914
2019-01-04,Average Tone,-0.049
2019-01-05,Average Tone,-0.4007
2019-01-06,Average Tone,-0.0321
2019-01-07,Average Tone,-0.0894
2019-01-08,Average Tone,-0.5336
2019-01-09,Average Tone,-0.5119
2019-01-10,Average Tone,-0.6351
2019-01-11,Average Tone,-0.144
2019-01-12,Average Tone,-0.2183
2019-01-13,Average Tone,-0.341
2019-01-14,Average Tone,0.0484
2019-01-15,Average Tone,-0.3766
2019-01-16,Average Tone,-0.2982
2019-01-17,Average Tone,-0.3277
2019-01-18,Average Tone,0.2719
2019-01-19,Average Tone,-1.0838
2019-01-20,Average Tone,-0.0173
